RK	PLAYER NAME	POS	BYE WEEK	SOS SEASON	ECR VS. ADP
145 Michael Gallup(DAL)	WR0	7	
146 Adam Thielen(CAR)	WR1	7	
147 Zay Jones(JAC)	WR2	9	
148 Matthew Stafford(LAR)	QB19	10	
149 Derek Carr(NO)	QB20	11	
150 Kendre Miller(NO)	RB53	11	
151 Dalton Kincaid(BUF)	TE16	13	
152 Roschon Johnson(CHI)	RB54	13	
153 Gus Edwards(BAL)	RB55	13	
154 Rondale Moore(ARI)	WR3	14	
155 Gerald Everett(LAC)	TE17	5	
156 157 Chuba Hubbard(CAR)	RB56	7	
158 Kenny Pickett(PIT)	QB21	6	
159 Juwan Johnson(NO)	TE18	11	
160 Jordan Love(GB)	QB22	6	
161 San Francisco 49ers(SF)	DST1	9	
162 Alec Pierce(IND)	WR5	11	
163 Rashid Shaheed(NO)	WR6	11	
164 Dallas Cowboys(DAL)	DST2	7	
165 K.J. Osborn(MIN)	WR7	13	
166 Jerome Ford(CLE)	RB57	5	
167 Zamir White(LV)	RB58	13	
168 Van Jefferson(LAR)	WR8	10	
169 Brock Purdy(SF)	QB23	9	
170 Philadelphia Eagles(PHI)	DST3	10	
171 Taysom Hill(NO)	TE19	11	
172 Justin Tucker(BAL)	K1	13	
173 Curtis Samuel(WAS)	WR9	14	
174 175 Buffalo Bills(BUF)	DST4	13	
176 177 Isaiah Hodgins(NYG)	WR1	13	
178 Tyler Bass(BUF)	K2	13	
179 Bryce Young(CAR)	QB24	7	
180 Sam LaPorta(DET)	TE20	9	
181 Jonathan Mingo(CAR)	WR2	7	
182 New England Patriots(NE)	DST5	11	
183 Darius Slayton(NYG)	WR3	13	
184 DeVante Parker(NE)	WR4	11	
185 Harrison Butker(KC)	K3	10	
186 New York Jets(NYJ)	DST6	7	
187 Kyler Murray(ARI)	QB25	14	
188 Cordarrelle Patterson(ATL)	RB60	11	
189 Evan McPherson(CIN)	K4	7	
190 Daniel Carlson(LV)	K5	13	
191 Chase Claypool(CHI)	WR5	13	
192 Ryan Tannehill(TEN)	QB26	7	
193 Baltimore Ravens(BAL)	DST7	13	
194 Hunter Renfrow(LV)	WR6	13	
195 Rashee Rice(KC)	WR7	10	
196 John Metchie III(HOU)	WR8	7	
